rank,registration number,title,study type,study phase,source of funding,funded (original),technology approach,application setting,application of a digital placebo,purpose of intervention,medical specialty (ICD-11),target Disease / conditions,study design,study purpose,registered,duration_month,arm,sample size,implementation site_1,implementation site_1_location,implementation site_2,implementation site_2_location,implementation site_3,implementation site_3_location,implementation site_4,implementation site_4_location,implementation site_5,implementation site_5_location,implementation site_6,implementation site_6_location,implementation site_7,implementation site_7_location,implementation site_8,implementation site_8_location,implementation site_9,implementation site_9_location,implementation site_10,implementation site_10_location,recruitment status,age_min,age_max,sex,randomization,randomization_method,masking,masking (original)
267,ChiCTR1900025966,Self-controlled study for the efficacy and safety of portable negative pressure based on the Internet in patients of diabetic foot ulcers,Observational,Early Phase 1,municipal government/fund,济南市科技发展计划,Adjunctive,Hospital,No,Management,"Endocrine, nutritional or metabolic diseases",diabetic foot ulcers,Parallel Assignment,对基于互联网+的便携式负压对糖尿病足溃疡患者创面愈合的有效性和安全性进行评价  ,2019,7.2,2,10,山东第一医科大学附属山东省立医院 ,山东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,90,All,NP,N/A,NP,N/A
268,ChiCTR1900025540,The effect and neural mechanism of internet-based cognitive training on post-stroke cognitive impairment,Interventional,Early Phase 1,municipal government/fund,上海市浦东新区卫生和计划生育委员会薄弱学科建设主攻课题,Guided,Non-hospital,yes,Management,Diseases of the nervous system,stroke,Parallel Assignment,本研究的目的观察基于互联网的认知训练对脑卒中认知障碍患者的康复疗效，并考察认知障碍改善的神经机制。  ,2019,11.13333333,3,90,上海市浦东新区公利医院 ,上海市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,,,All,simple randomization,"Random number table method was adopted to divide the random number copied from the random number table by 3. The remainder 0 was the control group, the remainder 1 was the active control group, and the remainder 2 was the observation group.",NP,未说明
269,ChiCTR1900023007,A multicenter randomized controlled trial based on the accuracy of Internet management in patients with uncontrolled hypertensive patients,Interventional,NP,national government/fund,中国中青年临床研究基金-VG基金,Fully-automated,Non-hospital,No,Prevention,Diseases of the circulatory system,hypertension,Parallel Assignment,本项目拟通过基于互联网平台精准定制未达标高血压生活行为方式干预的策略，从而提高患者的血压达标率、治疗依从性和降低心血管病风险。  ,2019,24.33333333,2,1500,首都医科大学附属北京安贞医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,80,All,block randomization,"Designed using a multi-center randomization scheme. First, the clinical research center is randomly coded. The study plans to include 4 centers of hypertensive patients, randomized according to the pinyin letters of each center name; second, the test cases are randomly coded. The trials were grouped into 2 grou",Open label,open lable
270,ChiCTR1900022828,Development and evaluation for Internet-based supportive care program among adult patients with acute leukemia and their families caregivers,Interventional,NP,provincial government/fund,福建省卫生计生中青年骨干人才培养项目（批准号： 2018-ZQN-63）,Guided,Non-hospital,No,Management,Neoplasms,leukemia,Parallel Assignment,在前期研究的基础上，构建基于互联网的急性白血病患者及家属支持性照护方案；通过临床初步应用，评价其对急白患者与家庭照顾者生活质量和心理精神健康的效果。  ,2018,16.2,2,72,福建医科大学附属协和医院 ,福建省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,,All,randomized-NP,Random number sequence was generated by the person who do not participate in the study via computer.,NP,未说明
271,ChiCTR1900022699,The Response of Internet-based Cognitive Behavioral Therapy for Insomnia (CBT-I) Application in Different Populations,Observational,Early Phase 1,municipal government/fund,杭州市科技发展计划项目,Fully-automated,Non-hospital,No,Prevention,"Mental, behavioural or neurodevelopmental disorders",insomnia disorder,factorial assignment,基于互联网的CBT-I对失眠的疗效已得到证实，与传统面对面的个体CBT-I相比，具有节约资源、方便获取等优点，对轻中度的失眠患者疗效较好。为了更好地推广基于互联网的CBT-I移动模式，快速准确地筛选出适宜人群，本课题将通过挖掘不同人群对基于互联网的CBT-I移动模式的响应，探寻最适宜这一干预方式的人群特征，指导临床为失眠患者选择合适的CBT-I干预方式。  ,2018,36.5,1,200,杭州市第七人民医院 ,浙江省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,55,All,NP,Not used,NP,N/A
272,ChiCTR1900021246,A randomized controlled trial for internet based and wearable devices for detection for asymptomatic atrial fibrillation and its systematically standardized management,Interventional,NP,hospital/university,四川大学华西医院,Guided,Non-hospital,No,Management,Diseases of the circulatory system,Atrial Fibrillation,Parallel Assignment,基于互联网+的远程心电监测检出无症状房颤患者，应用于以社区为基础的人群筛查及“无症状房颤人群”社区医院一体化管理规范  ,2019,24.36666667,2,1000,四川大学华西医院 ,四川省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,65,80,All,simple randomization,Li zhichao uses random number table method,NP,N/A
273,ChiCTR1800019357,Evaluation of Web-based Management Strategy among Population with High-risk of Cardiovascular Disease,Interventional,Phase 4,hospital/university,中国医学科学院医学与健康科技创新工程项目（项目编号：2017-I2M-1-004 ）,Guided,Non-hospital,No,Prevention,Diseases of the circulatory system,High risk of Cardiovascular Disease,Parallel Assignment,基于移动互联网和穿戴技术等，建立双向互动、高效便捷的互联网健康管理平台；借助互联网管理系统对心血管高危人群实施以“个体健康需求”为中心的生活方式干预，比较干预效果。  ,2018,38.06666667,5,3000,深圳市罗湖医院集团东门社区健康服务中心 ,广东省,深圳市罗湖医院集团莲塘社区健康服务中心 ,广东 ,深圳市罗湖医院集团文华社区健康服务中心 ,广东 ,深圳市罗湖医院集团长岭社区健康服务中心 ,广东 ,深圳市罗湖医院集团湖景社区健康服务中心 ,广东 ,深圳市罗湖医院集团仙湖社区健康服务中心 ,广东 ,深圳市罗湖医院集团湖贝社区健康服务中心 ,广东 ,深圳市罗湖医院集团笋岗社区健康服务中心 ,广东 ,深圳市罗湖医院集团清水河社区健康服务中心 ,广东 ,深圳市罗湖医院集团翠岭社区健康服务中心 ,广东 ,Recruiting,,,All,randomized-NP,Random method was not applicable to the current study,NP,N/A
274,ChiCTR1800019140,Research for the Internet of TCM features and diabetes health management mode based on patient centred,Observational,NP,provincial government/fund,四川省中医药管理局及自筹,Guided,Non-hospital,No,Management,"Endocrine, nutritional or metabolic diseases",Diabetes,Parallel Assignment,探索糖尿病健康管理模式  ,2018,24.3,2,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,35,70,All,NP,Nil,NP,N/A
275,ChiCTR1800018809,Mhealth based intervention to improve the medication adherence for patients undergoing CABG: a randomised controlled trial,Interventional,NP,municipal government/fund,北京市卫生和计划生育委员会,Guided,Non-hospital,No,Management,Diseases of the circulatory system,Coronary artery disease,Parallel Assignment,评价互联网为基础的冠心病患者术后康复管理模式与传统冠心病术后管理模式相比的干预效果如何  ,2018,NP,2,140,北京安贞医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,35,75,All,randomized-NP,The clinical data management platform of Beijing Anzhen Hospital is commissioned to create SAS 9.4 software to generate random concealment table tables. Masked envelopes will be produced by random concealment and participants are admitted by 1:1 random principle. After screening for inclusion and exclusion criteria,NP,未说明
276,ChiCTR1800017208,"Group treatment combined with internet interactive feedback on psychological intervention for perimenopausal women, an open-label, randomized controlled trial",Interventional,Early Phase 1,municipal government/fund,南京市医学科技发展YKK16196,Adjunctive,Non-hospital,No,Prevention,"Mental, behavioural or neurodevelopmental disorders",Anxiety and depression in perimenopausal women,Parallel Assignment,1）根据实验样本，了解南京市围绝经期综合征的发病率并及心理状况的情况。 2）探索对围绝经期女性进行团体心理疏导联合互联网互动反馈治疗的有效性和可操作性。 3）对围绝经期综合征的治疗和心理干预提出切实可行的建议。,2018,13.13333333,2,120,南京市妇幼保健院 ,江苏省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,40,70,Female,simple randomization,"According to the principle of simple randomization, the random number generated by random number table is divided into two groups according to 1:1 ratio.",NP,Not stated
277,ChiCTR1800016411,Clinical efficacy of Philicare-UFG andthe balanced metabolic management under the mobile Internet mode for overweight patients with type 2 diabetes orprediabetes,Interventional,NP,industry,春雨壹品（北京）国际信息科技有限公司生产,Guided,Non-hospital,No,Management,"Endocrine, nutritional or metabolic diseases",Diabetes,Parallel Assignment,验证单独和联合使用斐立益脂元与基于移动互联网的平衡代谢管理对超重合并2型糖尿病及糖尿病前期患者的临床疗效,2018,13.16666667,4,280,中山大学附属第五医院 ,广东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,60,All,randomized-NP,"According to the baseline results of HbA1c, according to odd and even rules, the test group and the control group were divided.",NP,Not stated
278,ChiCTR1800015370,A Community-Based Non-randomized Controlled Clinical Trial in China: The Impact of Ambulatory Blood Pressure Monitoring and Home Blood Pressure Monitoring Combined with Internet Technology on Blood Pressure Management,Interventional,NP,national government/fund,中国国家重点研发计划,Adjunctive,Non-hospital,No,Management,Diseases of the circulatory system,Hypertension,Parallel Assignment,本研究将在中国社区进行高血压筛查，并应用统一标准的24小时动态血压计和家庭智能血压计，结合互联网远程数据传输技术，对入组人群实施远程血压监测和管理，评估这种基于社区的新型血压管理模式在改善中国人群高血压控制水平方面的作用。,2017,48.66666667,2,5000,新街口社区卫生服务中心 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,80,All,randomized-NP,"According to the patients's willing, patients who are willing to take intervention management enrolled in the intervention group, who are unwilling to undergo intervention management enrolled in the control group.",NP,
279,ChiCTR1800014260,Internet-based HIV Prevention among men who have sex with men,Interventional,NP,municipal government/fund,广州市医学科研基金,Fully-automated,Non-hospital,No,Prevention,Certain infectious or parasitic diseases,HIV/AIDS,Parallel Assignment,评估互联网干预对MSM人群高危行为的效果，为MSM人群艾滋病防治提供参考建议。 研究目标： 1)了解MSM人群使用互联网的特征； 2)了解使用互联网的MSM人群高危行为的危险因素； 3)采用随机、对照的方法，对MSM人群进行干预，评估互联网干预对MSM人群高危行为的效果。,2014,28.36666667,2,1100,广州市疾病预防控制中心 ,广东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completed,18,60,Male,simple randomization,"Simple randomization method，peformed by postgraduate student Zhangyin Chen, by using SPSS to generate a set of random digit and divided into two groups.",Open label,这是一项“开放标签”设计。
280,ChiCTR-IOR-17013736,Effect of Easy TellTM (v2.0): an Internet based anonymous sexual partner notification system on promoting sexual partner notification among HIV positive men who have sex with men in Guangzhou City: a randomized controlled trial,Interventional,NP,municipal government/fund,广州市卫生计生科技一般引导项目,Fully-automated,Non-hospital,No,Prevention,Certain infectious or parasitic diseases,HIV/AIDS,Parallel Assignment,本研究通过随机对照试验，评估升级版匿名性伴告知平台——易告知TM（v2.0）和对广州市HIV阳性MSM性伴告知的促进效果，为进一步优化平台服务，建立高效可行的广州市HIV阳性MSM性伴告知工作模式提供科学依据。,2017,32.4,2,272,广州市疾病预防控制中心 ,广东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,100,Male,simple randomization,Random integer from 1 to 10 was generated by Microsoft Excel for each sample. The sample with the random integers which were below the median were assigned to control group. The others were allocated to intervention group. The allocation list was prepared by an investigator with no involvement in the,single(participant),单盲，不向研究对象透露其研究分组。
281,ChiCTR-ENC-17013729,"Criteria of diagnosis and treatment and epidemiological screening for children in Chongqing with nocturnal enuresis, based on the 'Internet +' and 'three referral pattern'",Interventional,Early Phase 1,provincial government/fund,重庆市科学委员会基金,Guided,Non-hospital,No,Management,"Mental, behavioural or neurodevelopmental disorders",Enuresis,factorial assignment,①向一级医院医生（社区、乡镇等基层医院医生）、二级医院医生推广儿童夜遗尿诊治治疗，当地医院建立夜遗尿专科门诊，通过“三级转诊模式”实行分级治疗； ②通过“互联网+”慢病管理平台对夜遗尿症进行慢病管理，创立针对儿童夜遗尿症的长期健康管理创新模式。 ③获得我市儿童夜遗尿流行病学资料。  ,2017,18.93333333,1,10000,重庆医科大学附属儿童医院 ,重庆市,三峡中心医院 ,重庆市 ,潼南县人民医院 ,重庆市 ,酉阳县人民医院 ,重庆市 ,梁平县人民医院 ,重庆市 ,重庆市第九人民医院 ,重庆市 ,江津区中心医院 ,重庆市 ,九龙坡区人民医院 ,重庆市 ,彭水县人民医院 ,重庆市 ,涪陵中心医院 ,重庆市 ,Recruiting,5,18,All,Non-Randomized,no,NP,
282,ChiCTR-IOR-17013659,Influence of Internet-based group visits and peer education on the awareness of relevant knowledge among Junior high school students with acne,Interventional,NP,national government/fund,协和青年基金，中央高校基本研究业务费专项资金,Adjunctive,Non-hospital,No,Management,Diseases of the skin,Acne,Parallel Assignment,"利用互联网平台将初中患者及其家长一起加入微信群，有计划、定期推送疾病相关的正确知识，并定期回复患者及家长的咨询。通过这样的研究期望寻找一种新的针对青春期痤疮患者健康教育方式，更高效地帮助青春期痤疮患者,使其获得正确的疾病知识，并提高其就医依从性。  ",2017,6.033333333,2,120,中国医学科学院皮肤病医院 ,江苏省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,11,14,All,simple randomization,Research objects are randomly divided into the intervention group and control group with random number sequence by the researcher.,NP,
283,ChiCTR-IOR-17013599,A Community-Based Multi-Center Comparative Effectiveness Randomized Controlled Trial of Mobile Internet- and Social Media-based Intervention and Telemonitoring with Self-Management for Control of Blood Pressure in China,Interventional,NP,self-fund,自筹,Guided,Non-hospital,No,Management,Diseases of the circulatory system,Primary hypertension,Parallel Assignment,基于3G/4G无线网络+移动互联网应用+云计算决策支持的家庭远程血压监控的管理模式与传统血压自我管理模式相比的干预效果如何,2016,22.26666667,2,600,安贞医院大屯门诊部 ,北京市,平房社区卫生服务中心 ,北京 ,紫城嘉园社区卫生服务中心 ,北京 ,奥运村社区卫生服务中心 ,北京 ,牛堡屯社区卫生服务中心 ,北京 ,龙潭社区卫生服务中心 ,北京 ,青龙桥社区卫生服务中心 ,北京 ,海淀镇社区卫生服务中心 ,北京 ,魏公村社区卫生服务中心 ,北京 ,NA,NA,Recruiting,30,80,All,randomized-NP,The clinical data management platform of Beijing Anzhen Hospital is commissioned to create SAS 9.4 software to generate random concealment table tables. Masked envelopes will be produced by random concealment and participants are admitted by 1:1 random principle. After screening for inclusion and exclusion criteria,NP,
284,ChiCTR-IPR-17013413,Research on chronic disease management by internet and application of diuretics in people with hypertension,Interventional,Phase 4,municipal government/fund,重庆市科委民生项目资金,Guided,Non-hospital,No,Management,Diseases of the circulatory system,primary hypertention,Parallel Assignment,探讨互联网（微信平台）对高血压患者进行健康生活方式指导和应用利尿剂（氢氯噻嗪）的疗效分析。  ,2017,19.23333333,3,3750,重庆医科大学附属第二医院 ,重庆市,重庆市第三人民医院 ,重庆 ,重庆市第四人民医院 ,重庆 ,重庆市中山医院 ,重庆 ,重庆市第六人民医院 ,重庆 ,渝北区人民医院 ,重庆 ,江北区人民医院 ,重庆 ,南岸区人民医院 ,重庆 ,北碚中医院 ,重庆 ,南川区人民医院 ,重庆 ,Not yet recruiting,18,80,All,randomized-NP,"In the order of grouping,2500 cases are randomly divided into 2 groups according to the parity of Numbers, and the odd number was in Diuretic group , even in the control group.",NP,
285,ChiCTR-INR-17013188,An intervention study of internet-based cognitive training programs for mental disorders,Interventional,Early Phase 1,self-fund,自筹,Fully-automated,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",mental disorders,Parallel Assignment,开发针对精神障碍患者的互联网认知训练程式，研究该训练程式在精神障碍患者中的疗效，进一步优化互联网认知训练程式。  ,2017,4.733333333,2,180,北京安定医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,65,All,randomized-NP,The random number sequence generated automatically by application of MedSci.,NP,
286,ChiCTR-OOC-17013075,The Internet supporting establishment of prevention-and-control system for diabetic foot.,Observational,NP,provincial government/fund,山东省科技厅,Guided,Non-hospital,No,Prevention,"Endocrine, nutritional or metabolic diseases",Diabetic foot,Parallel Assignment,基于互联网+技术，打造一个糖尿病足全程防治平台，实现糖尿病足的规范化诊治，同时研发和推广适用于不同级别医疗机构的相关适宜技术。  ,2017,24.53333333,2,2000,山东省立医院 ,山东省,历下区人民医院 ,山东省 ,东营市人民医院 ,山东省 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,19,70,All,block randomization,The study leader generates random sequences through the computer system based on the block randomization,NP,
287,ChiCTR-INC-17012722,Nutrition and Exercise Intervention of Hypertension Based on Mobile Devices and Internet Technology in Community,Interventional,Early Phase 1,municipal government/fund,重庆市科学技术委员会,Fully-automated,Non-hospital,No,Management,Diseases of the circulatory system,Hypertension,Parallel Assignment,本项目使用基于自行开发的基于穿戴设备和智能手机的高血压管理系统，通过采集高血压病人的血压，运动，心率，运动，饮食等方面的信息，并基于上述信息，为病人提供个性化的饮食运动的反馈意见和指导方案，以帮助社区卫生服务中心有效管理社区高血压病人。该研究的目的包括： 1、明确该高血压病管理系统在社区应用可行性。 2、评估该系统的管理效果。 3、对该系统进行成本效益分析。 4、对该系统进行优化和升级。,2017,6.033333333,2,200,重庆市渝中区石油路社区卫生服务中心 ,重庆市,重庆市南岸区弹子石社区卫生服务中心 ,重庆 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,45,80,All,cluster randomization,"Taking community as a unit, randomly distribute community into the intervention/control group.",NP,
288,ChiCTR-IPR-17012368,The Effects of the Diversity Exercise Intervention Based on the Internet and Social Media Software on postoperative Patients with Breast Cancer,Interventional,Early Phase 1,national government/fund,国家科技基础性工作专项重点课题（2015FY111600）,Fully-automated,Non-hospital,No,Management,Neoplasms,Breast cancer,Parallel Assignment,通过随机对照试验验证基于互联网及社交媒体软件的多样性运动干预对乳腺癌术后患者在体力活动、生活质量等方面的康复作用。  ,2017,18.26666667,2,40,山东大学第二医院 ,山东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,75,Female,simple randomization,Study leader generates the random number sequence by using a random digits table,NP,
289,ChiCTR-IOR-17011998,Development and evaluation of an Internet-Based Life Review Program among cancer patients undergoing chemotherapy,Interventional,NP,provincial government/fund,福建省自然科学基金（2017J01814 ）,Guided,Non-hospital,No,Management,Neoplasms,cancer,Parallel Assignment,在前期研究的基础上，构建基于互联网的人生回顾方案；通过临床初步应用，评价其对癌症化疗患者心理精神健康的效果。  ,2017,15.56666667,2,60,福建医科大学附属协和医院 ,福建省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,,All,randomized-NP,Random number sequence was generated by the person who do not participate in the study via computer.,NP,
290,ChiCTR-OOC-17011794,Platform construction of comprehensive prevention and control of Chronic Obstructive Pulmonary Disease in community based on the Internet.,Observational,NP,self-fund,自筹,Guided,Non-hospital,No,Prevention,Diseases of the respiratory system,Chronic Obstructive Pulmonary Disease,factorial assignment,建立基于“互联网+”的慢阻肺社区综合防治云平台  ,2016,40.53333333,2,400,广州医科大学附属第一医院 ,广东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,,,All,randomized-NP,recruit,NP,
291,ChiCTR-OOC-17011175,Multi-center study of internet-based lifestyle intervention for PCOS patients,Observational,NP,provincial government/fund,上海市科技创新基金,Fully-automated,Non-hospital,No,Prevention,"Endocrine, nutritional or metabolic diseases",Polycystic ovary syndrome,factorial assignment,通过互联网线上方式对PCOS患者进行生活方式干预，观察患者有效生活干预后，胰岛素敏感性、激素水平，排卵恢复情况的数据变化及其相关性  ,2017,37.56666667,3,300,爱丁互联网连锁门诊 ,上海市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,19,35,Female,Non-Randomized,Non randomised controlled trial,NP,
292,ChiCTR2400086508,"Effects of a nurse-led, mHealth-based rehabilitation programme on health-promoting behaviours, psychological distress, and health-related quality of life in women treated for gynaecological cancer: A randomised controlled trial",Interventional,NP,self-fund,自筹,Guided,Non-hospital,No,Management,Neoplasms,gynecological cancer,Parallel Assignment,本研究旨在检验由护士主导的基于移动健康应用程序的康复计划对妇科肿瘤患者的健康促进行为，心理困扰和健康相关生活质量干预效果  ,2024,15.2,2,160,山东第一医科大学附属肿瘤医院（山东省肿瘤防治研究院，山东省肿瘤医院） ,山东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,,,Female,block randomization,"Eligible participants will be randomly assigned in a 1: 1 ratio to the intervention group or control group. Stratified randomised block design by cancer type (block sizes of 4 and 6) will be used. The participants will be randomly allocated using a randomisation code generated using the RANDOM function in Excel, with sealed, opaque, sequentially numbered allocation envelopes.",Open label,无
293,ChiCTR2400086116,"Effects of a nurse-led, mHealth-based rehabilitation programme on health-promoting behaviours, psychological distress, and health-related quality of life in women treated for gynaecological cancer: A pilot study",Interventional,NP,self-fund,自筹,Guided,Non-hospital,No,Management,Neoplasms,gynecological cancer,Parallel Assignment,1.本研究旨在检验本方案的可行性。 2.本研究旨在检验护士主导的基于移动健康的康复计划对妇科肿瘤患者的健康促进行为，心理困扰和健康相关生活质量的效果,2024,7.133333333,2,24,山东第一医科大学附属肿瘤医院 ,山东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,,Female,block randomization,"Eligible participants will be randomly assigned in a 1: 1 ratio to the intervention group or control group. Stratified randomised block design by cancer type (block sizes of 4 and 6) will be used. The participants will be randomly allocated using a randomisation code generated using the RANDOM function in Excel, with sealed, opaque, sequentially numbered allocation envelopes.",single(outcomes assessor),对结局评估者盲
294,ChiCTR2400085957,Construction and empirical study of a training program for activities of daily living for elderly with mild dementia based on mobile healthcare,Interventional,Phase 1,hospital/university,福建医科大学研究生课题经费,Guided,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",mild dementia,Parallel Assignment,了解轻度痴呆老人的日常生活活动能力训练需求，初步构建基于移动医疗适于轻度痴呆老人的日常生活活动能力训练方案，并探讨其可行性，最后评价基于移动医疗的轻度痴呆老人的日常生活活动能力训练方案的应用效果。  ,2024,10.2,2,76,福建省立医院 ,福建省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,60,80,All,randomized-NP,"After all study subjects were recruited, patients who met the inclusion and exclusion criteria and completed the informed consent procedure were randomized in a 1:1 ratio between the test group and the control group.","double(investigator, outcomes assessor)",考虑到在开展日常生活活动训练干预活动时较难对干预者和研究对象设盲，因此本研究仅对资料评估调查者和统计分析人员实施盲法。
295,ChiCTR2400084001,Research Progress on the Impact of the Mediterranean-DASH Diet Intervention for Neurodegenerative Delay (MIND Diet) on Cognitive Function in the Elderly,Interventional,Phase 1,self-fund,自筹,Guided,Non-hospital,No,Prevention,"Mental, behavioural or neurodevelopmental disorders",Mild cognitive impairment,Parallel Assignment,1.分析MCI患者对膳食管理平台的饮食知识需求和功能需求并了解医护人员的意见和要求； 2.设计研发基于移动医疗的MCI患者膳食管理微信小程序； 3.评价基于微信小程序的MIND膳食模式饮食管理对MCI患者整体认知功能及各认知领域的应用效果。,2024,24.33333333,2,66,福建省立医院 ,福建省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,60,100,All,simple randomization,"Before randomisation, a researcher not involved in subject recruitment and data collection will prepare a randomisation list with 90 sets of numbers, using Research Randomizer software (http://www.randomizer.org/).","double(investigator, outcomes assessor)",本研究属于非药物干预试验，无法对研究对象及干预者(研究者本人)采用盲法，因此本研究仅对数据收集及统计分析人员设盲。
296,ChiCTR2400083977,Effects of cognitive-motor dual-task training based on mobile health technology on the elderly with cognitive frailty in the community :A quasi-experiment study,Interventional,Phase 1,hospital/university,北京协和医学院2021年度大学生创新训练计划项目（北京市级）,Adjunctive,Non-hospital,No,Prevention,"Mental, behavioural or neurodevelopmental disorders",mild cognitive impairment,factorial assignment,设计针对认知衰弱老年人认知-运动双重任务训练的APP，评价其对认知衰弱人群认知功能和躯体功能改善的应用效果。  ,2021,14.23333333,2,65,中国人民解放军总医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completed,64,81,All,NP,None,NP,
297,ChiCTR2400082606,Effects of palliative care based on mobile health intervention on psychological and quality of life among lung cancer patients,Interventional,NP,self-fund,自筹经费,Guided,Non-hospital,No,Management,Neoplasms,lung cancer,Parallel Assignment,通过构建适用于医护人员及肺癌患者及其家属使用的智能化安宁疗护平台，改善肺癌患者的心理状态，提高肺癌患者的生活质量。  ,2024,13.2,2,60,内蒙古民族大学附属医院 ,内蒙古自治区,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,70,All,randomized-NP,The lung cancer patients on different floors are divided into the experimental group and the control group.,Open label,开放
298,ChiCTR2400080127,"Personalized mHealth intervention for smoking cessation based on Protection Motivation Theory,Health Action Process Approach and Transtheoretical Model",Interventional,NP,national government/fund,国家自然科学基金,Fully-automated,Non-hospital,No,Prevention,Diseases of the circulatory system,Smoking related diseases,Parallel Assignment,验证研究假说：“基于移动医疗技术和个体行为转变理论的戒烟干预措施可有效提高戒烟成功率”。  ,2024,9.1,2,2400,福建省疾病预防控制中心 ,福建省,福建医科大学 ,福建 ,包头医学院 ,内蒙古 ,江苏省疾病预防控制中心 ,江苏 ,苏州市疾病预防控制中心 ,江苏 ,徐州市疾病预防控制中心 ,江苏 ,张家港健康促进中心 ,江苏 ,山东省疾病预防控制中心 ,山东 ,德州市疾病预防控制中心 ,山东 ,淄博市临淄区疾病预防控制中心 ,山东 ,Not yet recruiting,18,60,All,block randomization,"This study will use block randomization to randomly divide 2400 participants into an intervention group and a control group in a 1:1 ratio. Firstly, use the nicotine dependence scale score (FTND) as a stratification factor; Secondly, for each layer, patient enrollment time is used as the grouping factor, and biostatisticians unrelated to data management and statistical analysis in this experiment are used to generate a random table using SAS 9.4 statistical software package on the computer; Finally, the WeChat mini program generates random grouping results.","double(participant, care provider)",研究者仅可从后台查看研究对象的昵称与其收到的消息，研究对象仅可查看自己收到的消息，二者均对分组结果不知情，因此本试验为双盲试验。
